self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
 No,200000,600000,16,821,400000,100000,500000,100000, Approved
 Yes,400000,800000,10,859,900000,500000,800000,200000, Approved
 No,300000,1100000,2,300,100000,500000,700000,400000, Approved
 Yes,300000,1100000,2,702,300000,200000,500000,200000, Approved
 No,300000,1100000,8,778,800000,200000,900000,100000, Approved
 No,400000,1200000,12,861,200000,600000,1100000,200000, Approved
 Yes,700000,1300000,20,704,1600000,0,2200000,600000, Approved
 Yes,500000,1400000,2,551,900000,600000,1100000,300000, Approved
 No,700000,1400000,14,639,1900000,700000,2400000,900000, Approved
 Yes,400000,1500000,2,669,-100000,600000,900000,500000, Approved
 No,500000,1500000,2,888,1500000,300000,1500000,600000, Approved
 No,600000,1600000,6,647,1500000,600000,1500000,700000, Approved
 Yes,500000,1600000,4,663,1300000,100000,1300000,700000, Approved
 Yes,700000,1700000,8,733,1200000,800000,2400000,500000, Approved
 Yes,900000,2200000,16,566,100000,700000,2000000,600000, Approved
 Yes,800000,2200000,20,782,1300000,800000,2800000,600000, Approved
 No,800000,2900000,8,682,2200000,1100000,2900000,700000, Approved
 No,1400000,3100000,14,575,3000000,2100000,4900000,1400000, Approved
 Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000, Approved
 No,1400000,3300000,2,652,100000,2100000,3500000,1900000, Approved
 Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000, Approved
 No,1900000,4100000,18,801,400000,800000,4800000,1200000, Approved
 No,1600000,4500000,12,633,700000,1700000,4100000,1900000, Approved
 Yes,1900000,5000000,6,560,1000000,1900000,6300000,1400000, Approved
 Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000, Approved
 No,2100000,5100000,12,674,2200000,3200000,6400000,2400000, Approved
 Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000, Approved
 No,1800000,5300000,6,826,4500000,700000,6500000,1300000, Approved
 No,1500000,5500000,16,717,2100000,800000,4400000,1300000, Approved
 Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000, Approved
 No,2800000,6000000,18,816,6300000,4200000,8000000,3400000, Approved
 No,1600000,6200000,18,636,3400000,700000,5300000,1400000, Approved
 No,3000000,6500000,2,612,8800000,3400000,6700000,1700000, Approved
 No,1900000,6500000,18,671,600000,2500000,4800000,1100000, Approved
 No,2900000,6500000,18,827,8300000,600000,10400000,3200000, Approved
 Yes,2700000,6800000,20,796,700000,4200000,7000000,1900000, Approved
 Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000, Approved
 No,1900000,7500000,20,715,5100000,2800000,6500000,2800000, Approved
 No,3600000,7500000,6,894,1100000,6500000,7400000,2800000, Approved
 No,3800000,7600000,4,689,8700000,100000,9300000,3400000, Approved
 No,3600000,7700000,16,830,7000000,1300000,10000000,2900000, Approved
 No,3000000,7700000,12,890,4700000,4300000,8400000,2100000, Approved
 Yes,3300000,7800000,16,632,8500000,500000,7100000,4900000, Approved
 No,2600000,7800000,4,819,3100000,4300000,5700000,1500000, Approved
 Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000, Approved
 Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000, Approved
 Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000, Approved
 No,3600000,8600000,20,613,9400000,300000,10300000,3300000, Approved
 No,3800000,8900000,4,844,9100000,3500000,13100000,4700000, Approved
 Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000, Approved
 Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000, Approved
 Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000, Approved
 No,3100000,9600000,2,761,5800000,1800000,10400000,4200000, Approved
 Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000, Approved
 No,2800000,9900000,8,742,4900000,1300000,6700000,1700000, Approved
 No,2700000,10300000,10,736,1000000,0,6200000,3300000, Approved
 No,2900000,10400000,6,673,5100000,1700000,10600000,1700000, Approved
 Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000, Approved
 No,2700000,10600000,6,591,1300000,2700000,9900000,1800000, Approved
 No,4700000,10700000,10,794,5700000,3900000,16400000,4400000, Approved
 Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000, Approved
 Yes,4000000,10900000,14,598,3600000,6600000,13600000,4400000, Approved
 Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000, Approved
 No,4000000,11100000,12,572,9700000,100000,12500000,2400000, Approved
 Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000, Approved
 No,5000000,11200000,8,701,9100000,500000,14000000,4600000, Approved
 No,4900000,11900000,8,612,9700000,1200000,19000000,5800000, Approved
 Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000, Approved
 Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000, Approved
 No,5600000,12400000,4,777,5500000,3100000,11800000,5500000, Approved
 No,5800000,12800000,2,656,500000,5000000,16000000,2800000, Approved
 Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000, Approved
 No,5700000,12900000,18,807,4100000,900000,18600000,5500000, Approved
